cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength,water_cement_ratio,total_binder,aggregate_to_cement,cement_water_interaction,age_strength_proxy
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89,1.4401879675303075,353.3,12.17471921642451,28754.550000000003,5.291502622129181
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,0.9372354219335587,335.40000000000003,11.113018869041627,26736.870000000003,3.7416573867739413
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22,0.7495970016119936,345.7,7.272370910516358,46850.0,5.291502622129181
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,0.857139634813403,380.0,6.022533749873121,60648.0,5.291502622129181
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29,1.2486999437988127,338.20000000000005,11.266723083184218,29922.840000000004,5.291502622129181
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86,0.7529382237716715,255.0,7.195265900918035,48960.0,9.486832980505138
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75,1.2200166665667471,417.0,10.001139081899987,33943.8,2.6457513110645907
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64,0.7497981312723497,369.7,7.104585900612965,47388.9,7.483314773547883
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65,0.6486464572754822,296.0,6.2499788852064695,56832.0,5.291502622129181
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.99,1.251604828355946,482.0,10.187031051412571,30070.0,5.291502622129181
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35,1.103418291052101,468.59999999999997,10.794395293838642,25426.500000000004,5.291502622129181
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94,1.1098201744498586,289.0,10.42537326373836,33216.0,1.7320508075688772
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92,0.48311562827109544,385.0,4.490897426240451,71610.0,3.7416573867739413
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,0.9599959579117562,475.0,6.425236104269034,54150.0,2.6457513110645907
167.0,187.0,195.0,185.0,7.0,898.0,636.0,28,23.89,1.107777797737738,549.0,9.185573739079407,30895.0,5.291502622129181
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97,0.8498557069424371,336.4,8.659922077071668,38847.46,10.0
